fold,lagrangian_multiplier,depth,min_samples_leaf,min_samples_split,evaluation_method,prediction_method_leaf,mse,nof_infeasibilities,training_duration
0,0,12,5,10,mse,medoid,577.0166666666668,0,1205.9030289649963
0,0,12,5,10,mse,optimal,531.6918632899477,0,1084.8658347129822
0,0,12,5,10,mse,lagrangian,531.769770601311,26,1108.7061381340027
0,10,12,5,10,mse,medoid,577.0166666666668,0,977.9232585430145
0,10,12,5,10,mse,optimal,531.6918632899477,0,986.5260105133057
0,10,12,5,10,mse,lagrangian,531.769770601311,26,977.391036272049
0,100,12,5,10,mse,medoid,600.4166666666666,0,994.4256944656372
0,100,12,5,10,mse,optimal,540.8172586588171,0,997.4948177337646
0,100,12,5,10,mse,lagrangian,540.088259924879,23,999.1369180679321
0,1000,12,5,10,mse,medoid,597.9033333333333,0,953.0918002128601
0,1000,12,5,10,mse,optimal,536.3518808583431,0,931.8460569381714
0,1000,12,5,10,mse,lagrangian,534.5728651176023,21,954.9357583522797
0,10000,12,5,10,mse,medoid,597.9033333333333,0,961.0199723243713
0,10000,12,5,10,mse,optimal,536.3518808583431,0,960.7867004871368
0,10000,12,5,10,mse,lagrangian,534.5728651176023,21,936.7519900798798
1,0,12,5,10,mse,medoid,487.8066666666667,0,1071.92205119133
1,0,12,5,10,mse,optimal,446.59844015396646,0,1072.111162185669
1,0,12,5,10,mse,lagrangian,452.0990866014343,22,1047.3420906066895
1,10,12,5,10,mse,medoid,511.13166666666666,0,934.9172983169556
1,10,12,5,10,mse,optimal,451.73038861352364,0,930.9823410511017
1,10,12,5,10,mse,lagrangian,458.42533803322016,19,931.2687711715698
1,100,12,5,10,mse,medoid,503.055,0,961.7425553798676
1,100,12,5,10,mse,optimal,452.10012495735583,0,952.7526791095734
1,100,12,5,10,mse,lagrangian,458.5303795869854,13,956.3747930526733
1,1000,12,5,10,mse,medoid,494.0116666666666,0,931.954788684845
1,1000,12,5,10,mse,optimal,442.2056358834836,0,931.3495395183563
1,1000,12,5,10,mse,lagrangian,449.8363998286431,20,932.2028574943542
1,10000,12,5,10,mse,medoid,494.0116666666666,0,920.4417426586151
1,10000,12,5,10,mse,optimal,442.2056358834836,0,917.0869514942169
1,10000,12,5,10,mse,lagrangian,449.8363998286431,20,912.2705585956573
2,0,12,5,10,mse,medoid,503.6966666666667,0,1033.2871477603912
2,0,12,5,10,mse,optimal,447.2386987185039,0,1052.0776913166046
2,0,12,5,10,mse,lagrangian,448.09178513425513,24,1047.5815334320068
2,10,12,5,10,mse,medoid,504.9433333333333,0,981.3194620609283
2,10,12,5,10,mse,optimal,448.8899421319921,0,949.5722692012787
2,10,12,5,10,mse,lagrangian,449.74302854774334,24,962.5087795257568
2,100,12,5,10,mse,medoid,529.615,0,989.4425268173218
2,100,12,5,10,mse,optimal,458.57975615824097,0,991.4320769309998
2,100,12,5,10,mse,lagrangian,464.34262233859744,29,1014.9435596466064
2,1000,12,5,10,mse,medoid,502.49333333333334,0,942.6954715251923
2,1000,12,5,10,mse,optimal,445.86252790940415,0,931.8480069637299
2,1000,12,5,10,mse,lagrangian,447.76207346034045,30,937.2201855182648
2,10000,12,5,10,mse,medoid,502.49333333333334,0,947.3801047801971
2,10000,12,5,10,mse,optimal,445.86252790940415,0,942.9819695949554
2,10000,12,5,10,mse,lagrangian,447.76207346034045,30,946.4215307235718
3,0,12,5,10,mse,medoid,633.9399999999999,0,1049.3995933532715
3,0,12,5,10,mse,optimal,591.4638899542064,0,1065.55703997612
3,0,12,5,10,mse,lagrangian,584.7610076849793,11,1073.0528011322021
3,10,12,5,10,mse,medoid,627.18,0,986.5916187763214
3,10,12,5,10,mse,optimal,587.7450464167913,0,992.4772782325745
3,10,12,5,10,mse,lagrangian,581.0421641475642,11,1001.1991519927979
3,100,12,5,10,mse,medoid,649.6999999999999,0,1014.8316280841827
3,100,12,5,10,mse,optimal,601.7333303960523,0,1019.6551685333252
3,100,12,5,10,mse,lagrangian,602.6302450490663,17,995.8469090461731
3,1000,12,5,10,mse,medoid,682.4866666666667,0,924.6062459945679
3,1000,12,5,10,mse,optimal,578.8227688806877,0,951.4805018901825
3,1000,12,5,10,mse,lagrangian,581.5671542394567,26,933.203754901886
3,10000,12,5,10,mse,medoid,682.4866666666667,0,981.53582239151
3,10000,12,5,10,mse,optimal,578.8227688806877,0,950.7126834392548
3,10000,12,5,10,mse,lagrangian,581.5671542394567,26,919.2589197158813
4,0,12,5,10,mse,medoid,421.785,0,1050.668949842453
4,0,12,5,10,mse,optimal,432.84166297725847,0,1055.4829671382904
4,0,12,5,10,mse,lagrangian,435.42048942637,17,1063.1155536174774
4,10,12,5,10,mse,medoid,443.98500000000007,0,72743.18899536133
4,10,12,5,10,mse,optimal,434.4200978093163,0,958.7030475139618
4,10,12,5,10,mse,lagrangian,436.2718248335885,16,924.7298355102539
4,100,12,5,10,mse,medoid,466.935,0,893.7234933376312
4,100,12,5,10,mse,optimal,443.7297614012312,0,936.1494688987732
4,100,12,5,10,mse,lagrangian,445.85336342550335,17,926.7996242046356
4,1000,12,5,10,mse,medoid,452.62166666666667,0,935.8961431980133
4,1000,12,5,10,mse,optimal,424.2304677283358,0,950.976758480072
4,1000,12,5,10,mse,lagrangian,432.1156975154716,16,935.4138548374176
4,10000,12,5,10,mse,medoid,452.62166666666667,0,943.8078155517578
4,10000,12,5,10,mse,optimal,424.2304677283358,0,950.148184299469
4,10000,12,5,10,mse,lagrangian,432.1156975154716,16,951.3683731555939
